"Chemical","Type","Purpose","State"
"Chloropicrin","Fumigant","Soil disinfection, pest control","California"
"Dichloropropene","Fumigant","Controls nematodes in the soil","California"
"Sulfur","Fungicide","Controls fungal diseases, powdery mildew","California"
"Captan","Fungicide","Controls mold, rots, and fungal infections","Florida"
"Thiram","Fungicide","Seed protection, prevents rot and damping-off","Florida"
"Cyprodinil","Fungicide","Targets gray mold and Botrytis","Florida"
