"Year","State","Value"
2020,"CALIFORNIA",743.1
2021,"CALIFORNIA",8613.74
2022,"CALIFORNIA",698
2023,"CALIFORNIA",5306.623
2020,"FLORIDA",339
2021,"FLORIDA",2438.41
2022,"FLORIDA",389
2023,"FLORIDA",3085.653
